Product Name,Price,Rating
"boAt Airdopes Supreme w/ 4 Mics AI ENx Tech, 50 HRS Pla...","₹1,099",4.1
"Mivi Duopods D4, 50Hrs Playtime, HD Call, Fast Charging...",₹599,3.9
"Boult Astra with Quad Mic ENC, 48Hrs Battery, Low Laten...","₹1,099",4.1
"truke Buds Elite with 10mm Driver, 70Hrs Battery, Volum...",₹599,4.2
"boAt Rockerz 110 with 40 HRS Playback, ENx Technology, ...",₹699,4.1
boAt Airdopes 161/163 with ASAP Charge & 40 HRS Playbac...,₹799,4
"boAt Airdopes Supreme w/ 4 Mics AI ENx Tech, 50 HRS Pla...","₹1,099",4.1
"Boult Y1 Pro with Zen Quad Mic ENC, 60Hrs Battery, Fast...",₹999,4.1
Aroma NB126 Aster V5.4 Upto 50Hr Playtime* 45Ms Latency...,₹469,3.9
"Boult Z40 with Zen ENC Mic, 60H Battery Life, Low Laten...",₹799,4.1
boAt BassHeads 100 Wired,₹299,4.3
OnePlus Nord Buds 3 Pro Truly Wireless Earbuds with 49d...,"₹2,699",4.4
"realme Buds T200 Lite with 12.4mm Driver, 48hrs Playbac...","₹1,299",4
"SONY WH-CH520 with 50 Hrs Playtime, DSEE Upscale, Multi...","₹3,990",4.3
"TRIGGR Kraken X1 with Battery Display, 40ms Latency, Qu...",₹799,4
"Boult Mustang Q 70Hrs Battery, ENC Mic, 40mm Bass Boost...","₹2,499",4.2
TECHFIRE Fire 145- 30 Hours Playtime with superior soun...,₹299,3.7
hybite Samsung Remote Compatible for all SAmsung Led / ...,₹184,3.9
"HOPPUP Xo6 Gaming Earbuds with 35MS Low Latency, RGB LE...",₹799,4
Aroma NB140 Matrix Upto 40Hr Playtime* Fast Charging Du...,₹399,3.8
"JBL Go Essential with Rich Bass, 5 Hrs Playtime, IPX7 W...","₹1,499",4.2
truke Crystal Dyno Leather Finish earbuds w/ Spatial Au...,₹999,4.7
"Aroma NB119 Zebra Upto 100H Playtime, ENC, Magnetic On/...",₹479,4
"Microflash Earbuds C68 50Hrs Battery, Touch, Deep Bass,...",₹495,3.9
"realme Buds Wireless 3 Neo with 13.4mm Driver, 32 hrs P...",₹999,4.3
"Boult W40 with Quad Mic ENC, 48H Battery Life, Low Late...",₹999,4.1
"Aroma NB140 Buds 3 Truly Wireless Upto 60H Playtime*,EN...",₹499,3.7
"Firetv Stick Lite with all-new Alexa Voice Remote Lite,...","₹2,599",4.2
Aroma NB140 Evolve 24 Hours* Playtime | Deep Bass | Mad...,₹289,3.6
"Boult Z40 with Zen ENC Mic, 60H Battery Life, Low Laten...",₹878,4.1
Portronics 1 10W TWS Portable & Type C Charging 10 W Bl...,₹830,4.3
"Boult W10 55H Battery, 4 Mic ENC, Spatial Audio, 45ms L...",₹899,4
"Boult Astra with Quad Mic ENC, 48Hrs Battery, Low Laten...","₹1,199",4.1
"ZEBRONICS Zeb-Buds C2, Type-C , In-Line Mic, 10mm Drive...",₹271,3.8
"realme Buds Wireless 3 Neo with 13.4mm Driver, 32 hrs P...",₹999,4.2
"Mivi Duopods K2, 40Hrs PT, HD Call, Fast Charging, 50ms...",₹699,3.9
Aroma NB138 Ascrow 32dB Active Noise Cancellation 70H* ...,₹499,3.9
"truke Buds Q1 Lite with Quad-Mic ENC,48H Playtime,Royal...",₹599,4
"Boult W20 with Zen ENC Mic, 40H Battery Life, Low Laten...",₹899,4.1
Aroma NB119 Pro Belief Upto 48H Playtime* Fast Charging...,₹289,3.6
"Boult Mustang Derby with 100 Hrs Battery, App Support, ...","₹1,499",4.1
"Leaf Buds X121 True Wireless, AI SOUND App,30H Playtime...",₹699,4
"Aroma NB120 Amaze Upto 50 Hours* Playtime, Fast Chargin...",₹299,3.7
Aroma NB138 Bound 32dB Active Noise Cancellation 60Hrs*...,₹495,3.9
